Date,News
2022-01-03,Company reports strong quarterly earnings
2022-01-04,Investors worry about inflation rise
2022-01-05,Market shows positive growth trend
2022-01-06,Stock prices fall due to global tension
2022-01-07,Tech stocks rally after earnings beat
2022-01-10,Federal Reserve hints at rate hike
2022-01-11,Strong economic data boosts investor confidence
2022-01-12,Oil prices surge impacting markets
2022-01-13,Positive quarterly results lift stock prices
2022-01-14,Global uncertainty affects trading sentiment
